seed,action,label_count
263,PLACE_AT_1,8
263,PLACE_AT_10,8
263,PLACE_AT_2,8
263,PLACE_AT_3,8
263,PLACE_AT_5,8
269,PLACE_AT_1,8
269,PLACE_AT_10,8
269,PLACE_AT_2,8
269,PLACE_AT_3,8
269,PLACE_AT_5,8
271,PLACE_AT_1,8
271,PLACE_AT_10,8
271,PLACE_AT_2,8
271,PLACE_AT_3,8
271,PLACE_AT_5,8
277,PLACE_AT_1,8
277,PLACE_AT_10,8
277,PLACE_AT_2,8
277,PLACE_AT_3,8
277,PLACE_AT_5,8
281,PLACE_AT_1,8
281,PLACE_AT_10,8
281,PLACE_AT_2,8
281,PLACE_AT_3,8
281,PLACE_AT_5,8
283,PLACE_AT_1,8
283,PLACE_AT_10,8
283,PLACE_AT_2,8
283,PLACE_AT_3,8
283,PLACE_AT_5,8
293,PLACE_AT_1,8
293,PLACE_AT_10,8
293,PLACE_AT_2,8
293,PLACE_AT_3,8
293,PLACE_AT_5,8
307,PLACE_AT_1,8
307,PLACE_AT_10,8
307,PLACE_AT_2,8
307,PLACE_AT_3,8
307,PLACE_AT_5,8
311,PLACE_AT_1,8
311,PLACE_AT_10,8
311,PLACE_AT_2,8
311,PLACE_AT_3,8
311,PLACE_AT_5,8
313,PLACE_AT_1,8
313,PLACE_AT_10,8
313,PLACE_AT_2,8
313,PLACE_AT_3,8
313,PLACE_AT_5,8
317,PLACE_AT_1,8
317,PLACE_AT_10,8
317,PLACE_AT_2,8
317,PLACE_AT_3,8
317,PLACE_AT_5,8
331,PLACE_AT_1,8
331,PLACE_AT_10,8
331,PLACE_AT_2,8
331,PLACE_AT_3,8
331,PLACE_AT_5,8
337,PLACE_AT_1,8
337,PLACE_AT_10,8
337,PLACE_AT_2,8
337,PLACE_AT_3,8
337,PLACE_AT_5,8
347,PLACE_AT_1,8
347,PLACE_AT_10,8
347,PLACE_AT_2,8
347,PLACE_AT_3,8
347,PLACE_AT_5,8
349,PLACE_AT_1,8
349,PLACE_AT_10,8
349,PLACE_AT_2,8
349,PLACE_AT_3,8
349,PLACE_AT_5,8
353,PLACE_AT_1,8
353,PLACE_AT_10,8
353,PLACE_AT_2,8
353,PLACE_AT_3,8
353,PLACE_AT_5,8
359,PLACE_AT_1,8
359,PLACE_AT_10,8
359,PLACE_AT_2,8
359,PLACE_AT_3,8
359,PLACE_AT_5,8
367,PLACE_AT_1,8
367,PLACE_AT_10,8
367,PLACE_AT_2,8
367,PLACE_AT_3,8
367,PLACE_AT_5,8
