seed,proposal_index,strict_safe_action_count,core_safe_action_count,positive_benefit_action_count,any_risk_action_count,action_utility_unique_count
263,1,0,0,3,5,5
263,2,1,2,5,4,5
263,3,0,0,5,5,5
263,4,0,0,4,5,5
263,5,0,1,3,5,5
263,6,0,0,5,5,5
263,7,0,0,3,4,5
263,8,1,1,5,4,5
269,1,0,1,4,4,5
269,2,0,0,1,5,5
269,3,0,0,1,5,5
269,4,0,2,4,5,5
269,5,0,0,1,5,5
269,6,0,0,4,5,5
269,7,1,5,5,4,5
269,8,0,3,5,5,5
271,1,0,4,5,5,5
271,2,0,2,4,4,5
271,3,0,0,3,5,5
271,4,0,0,4,5,5
271,5,0,2,4,5,5
271,6,1,4,5,4,5
271,7,1,1,5,4,5
271,8,0,0,5,5,5
277,1,1,1,5,4,5
277,2,0,0,5,5,5
277,3,0,0,4,5,5
277,4,0,1,2,5,5
277,5,0,0,3,5,5
277,6,0,4,4,5,5
277,7,2,4,5,3,5
277,8,0,0,1,5,5
281,1,0,1,5,5,5
281,2,0,0,5,5,5
281,3,0,0,3,5,5
281,4,1,1,5,4,5
281,5,1,1,5,4,5
281,6,0,0,5,5,5
281,7,0,2,4,4,5
281,8,2,3,5,3,5
283,1,0,0,5,5,5
283,2,0,2,4,5,5
283,3,1,1,5,4,5
283,4,0,2,5,5,5
283,5,0,1,2,5,5
283,6,1,3,5,4,5
283,7,1,1,5,4,5
283,8,1,5,5,4,5
293,1,0,0,4,5,5
293,2,0,4,5,5,5
293,3,0,0,3,5,5
293,4,0,0,3,5,4
293,5,0,0,0,5,5
293,6,0,1,5,5,5
293,7,4,4,5,1,5
293,8,1,4,5,4,5
307,1,0,0,3,5,5
307,2,0,0,2,5,5
307,3,0,0,5,5,4
307,4,0,0,4,5,5
307,5,1,2,5,4,5
307,6,0,0,5,5,5
307,7,1,1,5,4,5
307,8,0,0,5,5,5
311,1,0,2,5,5,4
311,2,0,2,4,4,5
311,3,1,1,5,4,5
311,4,0,0,4,5,5
311,5,0,0,0,5,5
311,6,1,1,5,4,5
311,7,0,1,4,5,5
311,8,0,0,5,5,5
313,1,0,1,5,5,5
313,2,0,0,5,5,5
313,3,0,0,4,5,5
313,4,0,0,1,5,5
313,5,0,0,4,5,5
313,6,3,4,5,2,5
313,7,0,0,5,5,5
313,8,1,1,5,4,5
317,1,0,0,5,5,5
317,2,1,1,5,4,5
317,3,1,1,5,4,5
317,4,0,0,5,5,5
317,5,2,2,5,3,5
317,6,1,1,5,4,5
317,7,0,4,4,4,5
317,8,0,0,3,5,5
331,1,0,2,4,5,5
331,2,1,1,5,4,5
331,3,1,2,5,4,5
331,4,5,5,5,0,5
331,5,1,1,5,4,5
331,6,0,2,5,5,5
331,7,0,0,4,4,5
331,8,0,2,5,5,5
337,1,1,1,5,4,5
337,2,0,0,5,5,5
337,3,0,0,4,5,5
337,4,0,0,5,5,5
337,5,0,0,1,5,5
337,6,0,0,4,5,5
337,7,0,3,4,5,5
337,8,0,0,1,5,5
347,1,1,1,5,4,5
347,2,0,0,5,5,5
347,3,1,3,5,4,5
347,4,0,0,4,5,5
347,5,0,0,5,5,5
347,6,0,0,4,4,5
347,7,0,0,5,5,5
347,8,0,1,5,5,5
349,1,1,1,5,4,5
349,2,1,5,5,4,5
349,3,0,2,4,5,5
349,4,0,0,4,5,5
349,5,0,0,5,5,5
349,6,0,0,4,4,5
349,7,1,1,5,4,5
349,8,0,1,3,5,5
353,1,0,0,5,5,5
353,2,1,4,5,4,5
353,3,1,5,5,4,5
353,4,3,5,5,2,5
353,5,0,0,5,5,5
353,6,0,2,4,4,5
353,7,0,1,4,4,5
353,8,1,1,1,4,5
359,1,2,3,5,3,5
359,2,0,0,5,5,5
359,3,0,0,1,5,5
359,4,0,0,4,5,5
359,5,0,1,4,4,5
359,6,0,0,1,5,5
359,7,0,0,5,5,5
359,8,0,1,5,5,5
367,1,1,1,5,4,5
367,2,0,2,4,5,5
367,3,0,1,4,5,5
367,4,0,0,3,5,5
367,5,0,0,5,5,5
367,6,0,0,4,5,5
367,7,0,2,4,5,5
367,8,0,0,4,5,5
