feature,dtype,numeric,coverage_rate,missing_count,unique_count,constant
action_boundary_score,float64,True,1.0,0,594,False
action_move_distance,int64,True,1.0,0,14,False
action_move_distance_to_1,int64,True,1.0,0,5,False
action_move_distance_to_10,int64,True,1.0,0,5,False
action_move_distance_to_2,int64,True,1.0,0,5,False
action_move_distance_to_3,int64,True,1.0,0,5,False
action_move_distance_to_5,int64,True,1.0,0,5,False
action_required_lift,float64,True,1.0,0,657,False
action_required_lift_to_1,float64,True,1.0,0,137,False
action_required_lift_to_10,float64,True,1.0,0,134,False
action_required_lift_to_2,float64,True,1.0,0,138,False
action_required_lift_to_3,float64,True,1.0,0,140,False
action_required_lift_to_5,float64,True,1.0,0,138,False
action_score_gap,float64,True,1.0,0,657,False
action_score_gap_to_1,float64,True,1.0,0,137,False
action_score_gap_to_10,float64,True,1.0,0,134,False
action_score_gap_to_2,float64,True,1.0,0,138,False
action_score_gap_to_3,float64,True,1.0,0,140,False
action_score_gap_to_5,float64,True,1.0,0,138,False
base_boundary_score_at_1,float64,True,1.0,0,116,False
base_boundary_score_at_10,float64,True,1.0,0,139,False
base_boundary_score_at_2,float64,True,1.0,0,132,False
base_boundary_score_at_3,float64,True,1.0,0,135,False
base_boundary_score_at_5,float64,True,1.0,0,133,False
base_rank,int64,True,1.0,0,5,False
base_score,float64,True,1.0,0,135,False
bm25_score,float64,True,1.0,0,106,False
candidate_gap_to_above,float64,True,1.0,0,124,False
candidate_gap_to_below,float64,True,1.0,0,125,False
candidate_rank_fraction,float64,True,1.0,0,51,False
candidate_score_minus_query_mean,float64,True,1.0,0,136,False
candidate_score_z,float64,True,1.0,0,140,False
candidate_source,str,False,1.0,0,3,False
category,str,False,1.0,0,8,False
dense_score,float64,True,1.0,0,140,False
price,float64,True,1.0,0,133,False
price_log,float64,True,1.0,0,133,False
qrsbt_compatibility,float64,True,1.0,0,140,False
qrsbt_confidence,float64,True,1.0,0,140,False
qrsbt_dispersion,float64,True,1.0,0,140,False
qrsbt_irrelevant_probability,float64,True,1.0,0,140,False
qrsbt_relevance_probability,float64,True,1.0,0,140,False
quality,float64,True,1.0,0,133,False
query_base_score_max,float64,True,1.0,0,116,False
query_base_score_mean,float64,True,1.0,0,16,False
query_base_score_min,float64,True,1.0,0,128,False
query_base_score_range,float64,True,1.0,0,137,False
query_base_score_std,float64,True,1.0,0,140,False
query_candidate_count,int64,True,1.0,0,15,False
query_category,str,False,1.0,0,8,False
query_intent,str,False,1.0,0,4,False
query_qrsbt_confidence_max,float64,True,1.0,0,140,False
query_qrsbt_confidence_mean,float64,True,1.0,0,140,False
query_qrsbt_confidence_std,float64,True,1.0,0,140,False
query_qrsbt_irrelevant_probability_max,float64,True,1.0,0,124,False
query_qrsbt_irrelevant_probability_mean,float64,True,1.0,0,140,False
query_qrsbt_irrelevant_probability_std,float64,True,1.0,0,140,False
query_qrsbt_relevance_probability_max,float64,True,1.0,0,140,False
query_qrsbt_relevance_probability_mean,float64,True,1.0,0,140,False
query_qrsbt_relevance_probability_std,float64,True,1.0,0,140,False
query_top1_base_score,float64,True,1.0,0,116,False
query_top1_to_top2_gap,float64,True,1.0,0,133,False
query_top2_base_score,float64,True,1.0,0,132,False
relation,str,False,1.0,0,2,False
retrieval_score,float64,True,1.0,0,133,False
score_immediately_above,float64,True,1.0,0,131,False
score_immediately_below,float64,True,1.0,0,131,False
semantic_component,float64,True,1.0,0,87,False
semantic_rank_score,float64,True,1.0,0,139,False
source_rank,int64,True,1.0,0,5,False
target_rank,int64,True,1.0,0,5,False
attribute_compatible,int64,True,1.0,0,1,True
qrsbt_support,int64,True,1.0,0,1,True
qrsbt_support_score,float64,True,1.0,0,1,True
qrsbt_transfer_source,str,False,1.0,0,1,True
query_qrsbt_support_score_max,float64,True,1.0,0,1,True
query_qrsbt_support_score_mean,float64,True,1.0,0,1,True
query_qrsbt_support_score_std,float64,True,1.0,0,1,True
sparse_history,int64,True,1.0,0,1,True
zero_history,int64,True,1.0,0,1,True
