seed,query_id,proposal_index,min_base_rank,max_base_rank,unique_base_rank_count,has_rank_1,has_rank_2,has_rank_3,has_rank_5,has_rank_10,all_target_boundaries_present
263,10,1,1,55,55,True,True,True,True,True,True
263,12,2,1,59,59,True,True,True,True,True,True
263,18,3,1,61,61,True,True,True,True,True,True
263,24,4,1,64,64,True,True,True,True,True,True
263,36,5,1,64,64,True,True,True,True,True,True
263,41,6,1,62,62,True,True,True,True,True,True
263,42,7,1,61,61,True,True,True,True,True,True
263,45,8,1,60,60,True,True,True,True,True,True
269,3,1,1,54,54,True,True,True,True,True,True
269,5,2,1,58,58,True,True,True,True,True,True
269,12,3,1,64,64,True,True,True,True,True,True
269,15,4,1,61,61,True,True,True,True,True,True
269,19,5,1,54,54,True,True,True,True,True,True
269,29,6,1,61,61,True,True,True,True,True,True
269,34,7,1,61,61,True,True,True,True,True,True
269,36,8,1,58,58,True,True,True,True,True,True
271,8,1,1,54,54,True,True,True,True,True,True
271,15,2,1,66,66,True,True,True,True,True,True
271,17,3,1,55,55,True,True,True,True,True,True
271,22,4,1,61,61,True,True,True,True,True,True
271,24,5,1,61,61,True,True,True,True,True,True
271,25,6,1,60,60,True,True,True,True,True,True
271,28,7,1,60,60,True,True,True,True,True,True
271,47,8,1,57,57,True,True,True,True,True,True
277,8,1,1,59,59,True,True,True,True,True,True
277,17,2,1,63,63,True,True,True,True,True,True
277,19,3,1,52,52,True,True,True,True,True,True
277,21,4,1,58,58,True,True,True,True,True,True
277,27,5,1,52,52,True,True,True,True,True,True
277,30,6,1,62,62,True,True,True,True,True,True
277,32,7,1,59,59,True,True,True,True,True,True
277,37,8,1,63,63,True,True,True,True,True,True
281,1,1,1,56,56,True,True,True,True,True,True
281,4,2,1,60,60,True,True,True,True,True,True
281,16,3,1,60,60,True,True,True,True,True,True
281,18,4,1,62,62,True,True,True,True,True,True
281,29,5,1,60,60,True,True,True,True,True,True
281,30,6,1,60,60,True,True,True,True,True,True
281,36,7,1,60,60,True,True,True,True,True,True
281,44,8,1,60,60,True,True,True,True,True,True
283,2,1,1,61,61,True,True,True,True,True,True
283,18,2,1,61,61,True,True,True,True,True,True
283,22,3,1,60,60,True,True,True,True,True,True
283,25,4,1,61,61,True,True,True,True,True,True
283,28,5,1,63,63,True,True,True,True,True,True
283,34,6,1,56,56,True,True,True,True,True,True
283,40,7,1,62,62,True,True,True,True,True,True
283,45,8,1,55,55,True,True,True,True,True,True
293,0,1,1,54,54,True,True,True,True,True,True
293,3,2,1,57,57,True,True,True,True,True,True
293,4,3,1,60,60,True,True,True,True,True,True
293,12,4,1,61,61,True,True,True,True,True,True
293,21,5,1,60,60,True,True,True,True,True,True
293,22,6,1,60,60,True,True,True,True,True,True
293,32,7,1,61,61,True,True,True,True,True,True
293,36,8,1,61,61,True,True,True,True,True,True
307,0,1,1,60,60,True,True,True,True,True,True
307,12,2,1,63,63,True,True,True,True,True,True
307,19,3,1,52,52,True,True,True,True,True,True
307,22,4,1,62,62,True,True,True,True,True,True
307,24,5,1,62,62,True,True,True,True,True,True
307,27,6,1,52,52,True,True,True,True,True,True
307,34,7,1,61,61,True,True,True,True,True,True
307,37,8,1,59,59,True,True,True,True,True,True
311,4,1,1,60,60,True,True,True,True,True,True
311,6,2,1,62,62,True,True,True,True,True,True
311,19,3,1,66,66,True,True,True,True,True,True
311,25,4,1,57,57,True,True,True,True,True,True
311,35,5,1,56,56,True,True,True,True,True,True
311,37,6,1,63,63,True,True,True,True,True,True
311,40,7,1,60,60,True,True,True,True,True,True
311,41,8,1,61,61,True,True,True,True,True,True
313,2,1,1,61,61,True,True,True,True,True,True
313,15,2,1,60,60,True,True,True,True,True,True
313,16,3,1,61,61,True,True,True,True,True,True
313,17,4,1,59,59,True,True,True,True,True,True
313,31,5,1,60,60,True,True,True,True,True,True
313,37,6,1,61,61,True,True,True,True,True,True
313,38,7,1,60,60,True,True,True,True,True,True
313,41,8,1,62,62,True,True,True,True,True,True
317,3,1,1,62,62,True,True,True,True,True,True
317,7,2,1,63,63,True,True,True,True,True,True
317,8,3,1,64,64,True,True,True,True,True,True
317,19,4,1,55,55,True,True,True,True,True,True
317,28,5,1,61,61,True,True,True,True,True,True
317,29,6,1,61,61,True,True,True,True,True,True
317,35,7,1,55,55,True,True,True,True,True,True
317,46,8,1,61,61,True,True,True,True,True,True
331,7,1,1,60,60,True,True,True,True,True,True
331,12,2,1,61,61,True,True,True,True,True,True
331,16,3,1,59,59,True,True,True,True,True,True
331,25,4,1,61,61,True,True,True,True,True,True
331,27,5,1,51,51,True,True,True,True,True,True
331,30,6,1,60,60,True,True,True,True,True,True
331,35,7,1,51,51,True,True,True,True,True,True
331,37,8,1,59,59,True,True,True,True,True,True
337,2,1,1,55,55,True,True,True,True,True,True
337,16,2,1,62,62,True,True,True,True,True,True
337,17,3,1,62,62,True,True,True,True,True,True
337,25,4,1,56,56,True,True,True,True,True,True
337,27,5,1,52,52,True,True,True,True,True,True
337,30,6,1,62,62,True,True,True,True,True,True
337,34,7,1,62,62,True,True,True,True,True,True
337,45,8,1,62,62,True,True,True,True,True,True
347,21,1,1,52,52,True,True,True,True,True,True
347,23,2,1,61,61,True,True,True,True,True,True
347,24,3,1,62,62,True,True,True,True,True,True
347,28,4,1,61,61,True,True,True,True,True,True
347,37,5,1,61,61,True,True,True,True,True,True
347,38,6,1,60,60,True,True,True,True,True,True
347,40,7,1,61,61,True,True,True,True,True,True
347,42,8,1,60,60,True,True,True,True,True,True
349,2,1,1,60,60,True,True,True,True,True,True
349,7,2,1,61,61,True,True,True,True,True,True
349,9,3,1,58,58,True,True,True,True,True,True
349,20,4,1,64,64,True,True,True,True,True,True
349,22,5,1,60,60,True,True,True,True,True,True
349,24,6,1,53,53,True,True,True,True,True,True
349,35,7,1,56,56,True,True,True,True,True,True
349,41,8,1,61,61,True,True,True,True,True,True
353,8,1,1,60,60,True,True,True,True,True,True
353,19,2,1,56,56,True,True,True,True,True,True
353,21,3,1,60,60,True,True,True,True,True,True
353,26,4,1,56,56,True,True,True,True,True,True
353,27,5,1,56,56,True,True,True,True,True,True
353,31,6,1,63,63,True,True,True,True,True,True
353,39,7,1,60,60,True,True,True,True,True,True
353,42,8,1,62,62,True,True,True,True,True,True
359,0,1,1,60,60,True,True,True,True,True,True
359,9,2,1,60,60,True,True,True,True,True,True
359,27,3,1,62,62,True,True,True,True,True,True
359,30,4,1,61,61,True,True,True,True,True,True
359,31,5,1,62,62,True,True,True,True,True,True
359,34,6,1,60,60,True,True,True,True,True,True
359,36,7,1,63,63,True,True,True,True,True,True
359,46,8,1,59,59,True,True,True,True,True,True
367,0,1,1,59,59,True,True,True,True,True,True
367,4,2,1,62,62,True,True,True,True,True,True
367,16,3,1,57,57,True,True,True,True,True,True
367,18,4,1,62,62,True,True,True,True,True,True
367,21,5,1,62,62,True,True,True,True,True,True
367,27,6,1,53,53,True,True,True,True,True,True
367,32,7,1,60,60,True,True,True,True,True,True
367,33,8,1,60,60,True,True,True,True,True,True
