feature,missing_rate,unique_count,feature_role,constant
base_score,0.0,135,context_numeric,False
base_rank,0.0,5,context_numeric,False
bm25_score,0.0,106,context_numeric,False
dense_score,0.0,140,context_numeric,False
retrieval_score,0.0,133,context_numeric,False
semantic_rank_score,0.0,139,context_numeric,False
semantic_component,0.0,87,context_numeric,False
qrsbt_relevance_probability,0.0,140,context_numeric,False
qrsbt_confidence,0.0,140,context_numeric,False
qrsbt_dispersion,0.0,140,context_numeric,False
qrsbt_compatibility,0.0,140,context_numeric,False
qrsbt_irrelevant_probability,0.0,140,context_numeric,False
price,0.0,133,context_numeric,False
price_log,0.0,133,context_numeric,False
quality,0.0,133,context_numeric,False
query_candidate_count,0.0,15,context_numeric,False
query_base_score_max,0.0,116,context_numeric,False
query_base_score_min,0.0,128,context_numeric,False
query_base_score_mean,0.0,16,context_numeric,False
query_base_score_std,0.0,140,context_numeric,False
query_base_score_range,0.0,136,context_numeric,False
query_top1_base_score,0.0,116,context_numeric,False
query_top2_base_score,0.0,132,context_numeric,False
query_top1_to_top2_gap,0.0,133,context_numeric,False
candidate_score_minus_query_mean,0.0,136,context_numeric,False
candidate_score_z,0.0,140,context_numeric,False
candidate_rank_fraction,0.0,51,context_numeric,False
candidate_gap_to_above,0.0,124,context_numeric,False
candidate_gap_to_below,0.0,125,context_numeric,False
query_qrsbt_confidence_max,0.0,140,context_numeric,False
query_qrsbt_confidence_mean,0.0,140,context_numeric,False
query_qrsbt_confidence_std,0.0,140,context_numeric,False
query_qrsbt_relevance_probability_max,0.0,140,context_numeric,False
query_qrsbt_relevance_probability_mean,0.0,140,context_numeric,False
query_qrsbt_relevance_probability_std,0.0,140,context_numeric,False
query_qrsbt_irrelevant_probability_max,0.0,124,context_numeric,False
query_qrsbt_irrelevant_probability_mean,0.0,140,context_numeric,False
query_qrsbt_irrelevant_probability_std,0.0,140,context_numeric,False
target_rank,0.0,5,action_numeric,False
action_move_distance,0.0,14,action_numeric,False
action_required_lift,0.0,657,action_numeric,False
action_score_gap,0.0,657,action_numeric,False
action_boundary_score,0.0,594,action_numeric,False
action,0.0,5,categorical,False
candidate_source,0.0,3,categorical,False
category,0.0,8,categorical,False
query_category,0.0,8,categorical,False
query_intent,0.0,4,categorical,False
relation,0.0,2,categorical,False
